rank_test_macro_f1,param_n_estimators,param_learning_rate,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__criterion,param_estimator__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
52,100,0.5,3,5,entropy,,0.9298128843873685,0.02240884621540526,0.9527148225780764,0.01413665856723898,0.9069109461966605,0.03089463895576034,0.8572307692307692,0.05395066780136293,0.9373440643863178,0.019293078408334968,0.9656341880341881,0.016118001564462855,1.0,0.0
53,200,0.1,2,5,entropy,,0.9298059957950084,0.018961905285401228,0.952774291971162,0.012990202174682395,0.9068376996188547,0.025041643812189856,0.8492307692307692,0.029704660642823795,0.937344064386318,0.017046707054705238,0.9599042735042735,0.024881321287760494,0.9804174513516484,0.004350009310074728
54,100,0.5,2,5,gini,,0.9297775208140611,0.024700071831574556,0.9527289546716003,0.015678220390290758,0.9068260869565219,0.03376427172246636,0.8569230769230769,0.04849449428885056,0.9373038229376258,0.0214262947374078,0.9650393162393162,0.022212769587206197,1.0,0.0
55,50,0.5,3,5,gini,,0.92976704465195,0.026917435293905792,0.9527200303469838,0.017000396219404322,0.9068140589569161,0.03692359955463917,0.8572307692307692,0.05395066780136293,0.9373038229376258,0.023253360170854723,0.9676991452991454,0.024018931340738577,1.0,0.0
56,200,0.5,1,1,entropy,,0.9297570932892596,0.030456738755021095,0.9527245884697718,0.01955187980373209,0.906789598108747,0.04145356102919827,0.8569230769230769,0.0546965810296344,0.9373038229376258,0.026532698041434506,0.9590769230769232,0.02707165622608427,0.9700417451908401,0.005543995371568553
56,200,0.5,1,2,entropy,,0.9297570932892596,0.030456738755021095,0.9527245884697718,0.01955187980373209,0.906789598108747,0.04145356102919827,0.8569230769230769,0.0546965810296344,0.9373038229376258,0.026532698041434506,0.9590769230769232,0.02707165622608427,0.9700417451908401,0.005543995371568553
56,200,0.5,1,5,entropy,,0.9297570932892596,0.030456738755021095,0.9527245884697718,0.01955187980373209,0.906789598108747,0.04145356102919827,0.8569230769230769,0.0546965810296344,0.9373038229376258,0.026532698041434506,0.9590769230769232,0.02707165622608427,0.9700417451908401,0.005543995371568553
59,50,0.5,3,5,entropy,,0.9297223320158103,0.024797929262544306,0.9527173913043478,0.015713948146522782,0.9067272727272726,0.034063436742075216,0.8569230769230769,0.0546965810296344,0.9373038229376258,0.0214262947374078,0.9613811965811966,0.012917859028901359,1.0,0.0
60,200,1.0,3,2,entropy,balanced,0.9297009832330521,0.01670412162004815,0.952864809512666,0.010554572395512222,0.9065371569534382,0.022878750629100178,0.8495384615384616,0.037386831210053005,0.9373440643863178,0.014455364690927468,0.9728547008547009,0.01854002940886045,1.0,0.0
61,200,0.1,3,5,gini,,0.9296780851982656,0.022708561364361966,0.9527274134358376,0.01409087244689457,0.9066287569606937,0.031350960719166564,0.8566153846153846,0.048829130892005836,0.9372635814889335,0.019503781053827326,0.9613059829059829,0.024308306819020253,1.0,0.0
62,200,1.5,3,5,entropy,,0.9296716003700277,0.013415645729790697,0.9528214616096207,0.008335896633538443,0.9065217391304348,0.018531466452962924,0.8492307692307692,0.02970466064282379,0.9373038229376258,0.011513274683137332,0.9737162393162393,0.018717796041995288,1.0,0.0
63,100,1.0,3,1,entropy,,0.9296357061598522,0.022079432658886185,0.9529115603308054,0.014220939644563134,0.9063598519888991,0.029953556704196135,0.8495384615384616,0.04514172291715275,0.9373440643863178,0.019293078408334968,0.9719794871794871,0.017116287714791182,1.0,0.0
64,100,0.1,3,5,gini,,0.9295872184927804,0.028330321173464713,0.9528254404026539,0.018623583944236126,0.906348996582907,0.038051503870776646,0.8489230769230769,0.039981060604998835,0.9372635814889337,0.025005907993498395,0.9588786324786325,0.021440127174399824,0.9968761903313542,0.00456475818219169
65,50,1.0,3,2,gini,,0.929525149549393,0.02723759920901577,0.9527713392879112,0.016854949535805217,0.9062789598108747,0.03764463054538457,0.8566153846153846,0.054993490739074204,0.9372233400402414,0.02333067181716756,0.9705299145299146,0.022499238548490695,1.0,0.0
66,200,1.5,3,5,gini,,0.9294360878901091,0.022955351059577172,0.9529528225316726,0.013862979369218585,0.9059193532485459,0.03206385538566828,0.8492307692307692,0.052937386258723865,0.9373038229376258,0.019428161341543473,0.9769230769230768,0.012394225713299532,1.0,0.0
67,200,1.0,3,1,entropy,balanced,0.9294231814069394,0.025128711908209637,0.9529115917423292,0.015522912830434317,0.9059347710715493,0.03475818433983748,0.8489230769230769,0.04731263263760104,0.9372635814889335,0.02149488610011361,0.9721367521367522,0.020434379937009053,1.0,0.0
68,25,1.0,3,2,gini,,0.9293626636208071,0.03775375052451378,0.9527993636408784,0.023155248517403297,0.9059259636007356,0.05244672921738283,0.8643076923076922,0.08272518130111157,0.9372233400402414,0.03215767662328429,0.9636581196581198,0.023451396621661295,1.0,0.0
69,200,0.1,3,2,entropy,,0.9293530844974555,0.022738532096676443,0.9529008639446257,0.014185183380115962,0.9058053050502852,0.03147292348267843,0.8486153846153845,0.053908535293725,0.9372635814889335,0.019503781053827326,0.9625435897435898,0.023811347081499495,1.0,0.0
70,100,1.0,3,5,gini,balanced,0.9293346882313719,0.03182321769112605,0.9528970094888749,0.018756930422906787,0.9057723669738689,0.04491537676747682,0.8566153846153846,0.07031560298872962,0.9372635814889335,0.02658811929491313,0.9629948717948718,0.018530212253576935,1.0,0.0
71,25,0.5,2,5,gini,,0.9291674764795783,0.029249178867769305,0.9530429212528571,0.018025162350960088,0.9052920317062995,0.04051881160787542,0.8486153846153845,0.06470031049009575,0.9372635814889337,0.02500590799349837,0.955876923076923,0.03105146607138323,0.9929897201740747,0.0045540809759120286
72,25,1.0,3,2,entropy,balanced,0.9277598885896433,0.016232525624925533,0.949635908738293,0.011387599117400081,0.9058838684409934,0.021190032172646915,0.8806153846153846,0.026282038774230944,0.9344064386317908,0.01475879475700286,0.9646974358974358,0.021264007453985257,1.0,0.0
73,100,0.1,3,2,gini,balanced,0.9275310727157583,0.028522164800837396,0.9498706560698146,0.020969077936678234,0.905191489361702,0.0361180098883905,0.8649230769230769,0.02041927387450716,0.9344466800804829,0.026550025798471055,0.9599247863247863,0.023165448689873046,0.9976628920539934,0.0031218155215387866
74,200,0.1,3,5,entropy,balanced,0.9273695653813526,0.02122210715249305,0.9500197791922897,0.01509209090428985,0.9047193515704153,0.027394078865139768,0.8649230769230769,0.02041927387450716,0.9344466800804829,0.019451818877795957,0.9637982905982906,0.02044939024875233,0.9826762606575699,0.015147306642350056
75,25,0.5,3,1,gini,balanced,0.9271648109610314,0.024221708854157087,0.9501580750424413,0.01605223020474476,0.9041715468796214,0.032469092025033855,0.8649230769230769,0.04119401346751892,0.9344466800804829,0.02144774838335726,0.9626940170940171,0.02734937946710561,1.0,0.0
76,50,0.5,3,2,entropy,,0.9270806998696945,0.018834747954810625,0.95034764704127,0.012822403503296378,0.903813752698119,0.024969550621974358,0.8572307692307692,0.03147498302164779,0.9345271629778672,0.0168657283631055,0.9634940170940173,0.019639368537505888,1.0,0.0
77,25,1.0,2,1,entropy,balanced,0.9270676140545566,0.017136090424050156,0.9501518416000229,0.010727583729284545,0.9039833865090902,0.02364481631260207,0.8649230769230769,0.04119401346751892,0.9344064386317907,0.014758794757002857,0.9644102564102564,0.022554071844529715,0.9992254792519397,0.0015490414961204734
77,50,1.0,2,1,entropy,balanced,0.9270676140545566,0.017136090424050156,0.9501518416000229,0.010727583729284545,0.9039833865090902,0.02364481631260207,0.8649230769230769,0.04119401346751892,0.9344064386317907,0.014758794757002857,0.9640547008547008,0.022815461907823693,0.9992254792519397,0.0015490414961204734
77,100,1.0,2,1,entropy,balanced,0.9270676140545566,0.017136090424050156,0.9501518416000229,0.010727583729284545,0.9039833865090902,0.02364481631260207,0.8649230769230769,0.04119401346751892,0.9344064386317907,0.014758794757002857,0.9640547008547008,0.022815461907823693,0.9992254792519397,0.0015490414961204734
77,200,1.0,2,1,entropy,balanced,0.9270676140545566,0.017136090424050156,0.9501518416000229,0.010727583729284545,0.9039833865090902,0.02364481631260207,0.8649230769230769,0.04119401346751892,0.9344064386317907,0.014758794757002857,0.9640547008547008,0.022815461907823693,0.9992254792519397,0.0015490414961204734
77,25,1.0,2,2,entropy,balanced,0.9270676140545566,0.017136090424050156,0.9501518416000229,0.010727583729284545,0.9039833865090902,0.02364481631260207,0.8649230769230769,0.04119401346751892,0.9344064386317907,0.014758794757002857,0.9644102564102564,0.022554071844529715,0.9992254792519397,0.0015490414961204734
77,50,1.0,2,2,entropy,balanced,0.9270676140545566,0.017136090424050156,0.9501518416000229,0.010727583729284545,0.9039833865090902,0.02364481631260207,0.8649230769230769,0.04119401346751892,0.9344064386317907,0.014758794757002857,0.9638769230769231,0.02295330333473127,0.9992254792519397,0.0015490414961204734
77,100,1.0,2,2,entropy,balanced,0.9270676140545566,0.017136090424050156,0.9501518416000229,0.010727583729284545,0.9039833865090902,0.02364481631260207,0.8649230769230769,0.04119401346751892,0.9344064386317907,0.014758794757002857,0.9638769230769231,0.02295330333473127,0.9992254792519397,0.0015490414961204734
77,200,1.0,2,2,entropy,balanced,0.9270676140545566,0.017136090424050156,0.9501518416000229,0.010727583729284545,0.9039833865090902,0.02364481631260207,0.8649230769230769,0.04119401346751892,0.9344064386317907,0.014758794757002857,0.9638769230769231,0.02295330333473127,0.9992254792519397,0.0015490414961204734
85,25,0.1,3,5,gini,balanced,0.9270565976731783,0.0401139852015718,0.9500242290054682,0.028976191537910666,0.9040889663408885,0.051577260390318035,0.8569230769230769,0.0546965810296344,0.9344064386317907,0.036887384910514846,0.9592854700854702,0.023838138284612825,0.9701706294165756,0.007405592058230194
86,50,0.1,3,5,entropy,balanced,0.9270455441670208,0.025538601297223483,0.9502929023929984,0.017814160865328676,0.9037981859410431,0.033384969338375974,0.8572307692307692,0.04038161160990257,0.9344869215291751,0.023165447033664775,0.9623111111111113,0.021564305211605104,0.9684591672677436,0.007202198711883947
87,50,1.0,2,1,entropy,,0.9269904433403944,0.03345558777029295,0.9502416576558452,0.02198560302998959,0.9037392290249434,0.04507674178070928,0.8649230769230769,0.06014105707054152,0.9344466800804829,0.02946471068960165,0.9617025641025642,0.027117972854724632,1.0,0.0
87,50,1.0,2,2,entropy,,0.9269904433403944,0.03345558777029295,0.9502416576558452,0.02198560302998959,0.9037392290249434,0.04507674178070928,0.8649230769230769,0.06014105707054152,0.9344466800804829,0.02946471068960165,0.9617025641025642,0.027117972854724632,1.0,0.0
89,25,1.5,3,5,gini,,0.9269791074973899,0.012481837418136623,0.9502384082314945,0.009218892695706934,0.903719806763285,0.01613804251613006,0.8569230769230769,0.032737073423434786,0.9344466800804829,0.011553151019133515,0.9744820512820512,0.009988842632403737,1.0,0.0
