rank_test_macro_f1,param_n_estimators,param_criterion,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_ccp_alpha,param_max_samples,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
65,300,gini,0.3,32,2,2,0.0,0.8,0.9337101450914975,0.026984601816307748,0.9543676052792461,0.018971672479353358,0.9130526849037487,0.03503334487196634,0.8729230769230769,0.0302353686068634,0.9401609657947686,0.024598883656437292,0.9737641025641025,0.013321960523377424,0.9859502185178798,0.007273060243289443
69,100,log_loss,0.5,16,4,8,0.0,1.0,0.9336630838088249,0.03357107899906342,0.9544118529556147,0.023457141053117216,0.9129143146620349,0.04370070851151469,0.8732307692307693,0.04586163909879805,0.9401609657947686,0.03052270776631453,0.9733880341880342,0.016694148370511173,0.9811965365057477,0.009767598094833588
69,100,log_loss,0.5,32,4,2,0.001,1.0,0.9336630838088249,0.03357107899906342,0.9544118529556147,0.023457141053117216,0.9129143146620349,0.04370070851151469,0.8732307692307693,0.04586163909879805,0.9401609657947686,0.03052270776631453,0.9733880341880342,0.016694148370511173,0.9811965365057477,0.009767598094833588
69,100,log_loss,0.5,32,4,4,0.001,,0.9336630838088249,0.03357107899906342,0.9544118529556147,0.023457141053117216,0.9129143146620349,0.04370070851151469,0.8732307692307693,0.04586163909879805,0.9401609657947686,0.03052270776631453,0.9733880341880342,0.016694148370511173,0.9811965365057477,0.009767598094833588
69,100,log_loss,0.5,16,4,4,0.001,1.0,0.9336630838088249,0.03357107899906342,0.9544118529556147,0.023457141053117216,0.9129143146620349,0.04370070851151469,0.8732307692307693,0.04586163909879805,0.9401609657947686,0.03052270776631453,0.9733880341880342,0.016694148370511173,0.9811965365057477,0.009767598094833588
69,100,entropy,0.5,16,4,4,0.001,,0.9336630838088249,0.03357107899906342,0.9544118529556147,0.023457141053117216,0.9129143146620349,0.04370070851151469,0.8732307692307693,0.04586163909879805,0.9401609657947686,0.03052270776631453,0.9733880341880342,0.016694148370511173,0.9811965365057477,0.009767598094833588
69,100,entropy,0.5,,2,2,0.0,1.0,0.9336630838088249,0.03357107899906342,0.9544118529556147,0.023457141053117216,0.9129143146620349,0.04370070851151469,0.8732307692307693,0.04586163909879805,0.9401609657947686,0.03052270776631453,0.9749948717948719,0.015580618111920543,0.9984509585038795,0.001897180627946304
69,100,log_loss,0.5,,2,2,0.001,1.0,0.9336630838088249,0.03357107899906342,0.9544118529556147,0.023457141053117216,0.9129143146620349,0.04370070851151469,0.8732307692307693,0.04586163909879805,0.9401609657947686,0.03052270776631453,0.9749948717948719,0.015580618111920543,0.9984509585038795,0.001897180627946304
76,300,gini,0.3,,1,2,0.001,0.8,0.9335940536938121,0.021193034234626085,0.9544647031323048,0.01435135900235955,0.9127234042553191,0.028060195629102894,0.8729230769230769,0.0302353686068634,0.9401609657947686,0.018979123213659386,0.9747282051282052,0.01423386111531165,1.0,0.0
77,200,log_loss,0.5,,2,8,0.001,,0.9334693186961844,0.026948262568359763,0.954552619155287,0.018996272437186244,0.9123860182370821,0.03492635028028131,0.8652307692307692,0.03116058806442381,0.9401609657947686,0.024598883656437292,0.9771076923076922,0.01343358497748686,0.9883145978372238,0.006053876189546628
77,200,entropy,0.5,,2,8,0.0,,0.9334693186961844,0.026948262568359763,0.954552619155287,0.018996272437186244,0.9123860182370821,0.03492635028028131,0.8652307692307692,0.03116058806442381,0.9401609657947686,0.024598883656437292,0.9771076923076922,0.01343358497748686,0.9883145978372238,0.006053876189546628
77,300,log_loss,0.5,,1,8,0.001,,0.9334693186961844,0.026948262568359763,0.954552619155287,0.018996272437186244,0.9123860182370821,0.03492635028028131,0.8652307692307692,0.03116058806442381,0.9401609657947686,0.024598883656437292,0.9769367521367522,0.013423627637363902,0.9961307831903629,0.0024438979717329922
77,300,log_loss,0.5,16,2,2,0.001,1.0,0.9334693186961844,0.026948262568359763,0.954552619155287,0.018996272437186244,0.9123860182370821,0.03492635028028131,0.8652307692307692,0.03116058806442381,0.9401609657947686,0.024598883656437292,0.9765675213675215,0.014185844337233884,1.0,0.0
77,300,entropy,0.5,16,4,8,0.0,,0.9334693186961844,0.026948262568359763,0.954552619155287,0.018996272437186244,0.9123860182370821,0.03492635028028131,0.8652307692307692,0.03116058806442381,0.9401609657947686,0.024598883656437292,0.9746188034188034,0.01568919545325194,0.9788317573848413,0.008488781492600647
82,100,gini,0.3,,4,2,0.0,1.0,0.9334415102823771,0.025054249251281458,0.9545078577336643,0.017786177079524373,0.9123751628310899,0.03234768186574473,0.8649230769230769,0.02041927387450716,0.9401207243460765,0.022948777690754815,0.972834188034188,0.014437677674586539,0.9677810763502357,0.004636640303881524
82,100,gini,0.3,,4,4,0.0,1.0,0.9334415102823771,0.025054249251281458,0.9545078577336643,0.017786177079524373,0.9123751628310899,0.03234768186574473,0.8649230769230769,0.02041927387450716,0.9401207243460765,0.022948777690754815,0.972834188034188,0.014437677674586539,0.9677810763502357,0.004636640303881524
84,300,log_loss,0.3,32,1,8,0.001,0.8,0.9333982224742126,0.01847461458798576,0.9546049555867228,0.012741978152176009,0.912191489361702,0.024245201323850527,0.8649230769230769,0.02041927387450716,0.9401609657947686,0.016690550167626016,0.9757059829059831,0.012795272704382545,0.9875331000556351,0.005741148441905257
85,100,entropy,0.5,,2,4,0.001,0.8,0.9333065633716042,0.03074842230058028,0.9547373125877592,0.020949873935344587,0.9118758141554494,0.04056775166174819,0.8655384615384616,0.0525028035317946,0.9402012072434609,0.027620822824223065,0.9713538461538462,0.01645077760663472,0.9875037929528755,0.009743984195675444
86,300,gini,0.3,,4,8,0.0,0.8,0.9332979007213374,0.030863267373977578,0.9545983752751679,0.02115948538173049,0.9119974261675068,0.04063968940331974,0.8649230769230769,0.04119401346751892,0.9401207243460765,0.02777668728778433,0.968417094017094,0.016798406709178745,0.9621764698243082,0.004900896065266725
87,300,log_loss,0.5,16,2,4,0.001,0.8,0.9331127982589639,0.023334927079838332,0.9548780787874314,0.015793241928042122,0.9113475177304965,0.030898919433726555,0.8575384615384616,0.0387448030491008,0.9402012072434609,0.020889692224688765,0.9744478632478633,0.014554976475424499,0.9898934840812383,0.0031000865296207246
