rank_test_macro_f1,param_n_estimators,param_criterion,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_max_samples,param_max_leaf_nodes,param_min_impurity_decrease,param_ccp_alpha,param_class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
24,200,log_loss,16,2,2,sqrt,True,1.0,16,0.0,0.0,balanced,0.9280077063819737,0.0250164577358396,0.9494844854994249,0.018435927886918873,0.9065309272645228,0.03169336773482761,0.8809230769230769,0.025365493963723035,0.9344466800804829,0.023273129651532207,0.9797606837606839,0.013223867985245418,0.9984509585038795,0.001897180627946304
25,100,gini,8,20,2,0.3,True,1.0,64,0.005,0.0,,0.9278868837753432,0.02602759792770781,0.9495412745534877,0.017626443932553415,0.9062324929971988,0.034456628062137125,0.8886153846153846,0.04708396126372573,0.9344064386317907,0.02333136590352638,0.9679863247863247,0.016169871849931836,0.9567396364491152,0.005053354318739255
26,500,log_loss,8,2,2,sqrt,False,,32,0.001,0.005,,0.9277269039353578,0.030391530777621044,0.9497304036153966,0.021953991282775198,0.9057234042553193,0.03887804313900063,0.8729230769230769,0.0302353686068634,0.9344466800804827,0.02804525847555522,0.9794393162393163,0.01171666578599774,0.9945613643700277,0.0019180560198318335
27,100,entropy,8,4,4,0.5,True,0.8,64,0.01,0.001,balanced,0.9277233248525485,0.04571963341273067,0.9496204894537623,0.0328719479559581,0.9058261602513346,0.05868468942014977,0.8729230769230769,0.05323699385570994,0.9344064386317907,0.04205760847745151,0.9707213675213676,0.01658896425687227,0.9726556528397234,0.005068949621709824
28,200,entropy,6,8,1,0.5,True,0.6,8,0.001,0.0,balanced,0.9276547746928786,0.038173012301920585,0.9496274467574718,0.026567090555748504,0.9056821026282853,0.0498740480116451,0.8806153846153846,0.05701530989243307,0.9343661971830987,0.03460984504734082,0.9699965811965813,0.015889362530468697,0.9631901727597141,0.0059980711367381805
29,500,entropy,5,8,4,log2,False,,32,0.01,0.001,balanced_subsample,0.9276274683195623,0.028789278300383775,0.9497288623796338,0.020849810119136437,0.905526074259491,0.036795702828435285,0.8726153846153846,0.030928816918471574,0.9344064386317907,0.02660108909512321,0.9744547008547009,0.013630326331182035,0.9724976993261301,0.007680202879044189
30,100,entropy,3,8,1,log2,True,,,0.001,0.01,balanced_subsample,0.9273944855910792,0.03136114833183843,0.9499231950844855,0.02125255704869975,0.904865776097673,0.04152211646106735,0.8726153846153846,0.0472926179860698,0.9344064386317908,0.028093604149484037,0.9602529914529914,0.026965856989952512,0.9510072220315259,0.007446122685910679
31,200,entropy,16,2,2,sqrt,True,,,0.001,0.005,balanced_subsample,0.9273695653813526,0.02122210715249305,0.9500197791922897,0.01509209090428985,0.9047193515704153,0.027394078865139768,0.8649230769230769,0.02041927387450716,0.9344466800804829,0.019451818877795957,0.9790564102564103,0.01312659534289922,1.0,0.0
31,200,gini,8,8,4,sqrt,True,1.0,32,0.0,0.01,,0.9273695653813526,0.02122210715249305,0.9500197791922897,0.01509209090428985,0.9047193515704153,0.027394078865139768,0.8649230769230769,0.02041927387450716,0.9344466800804829,0.019451818877795957,0.9735794871794872,0.014133887410109264,0.9582265478118824,0.004137101317511407
33,100,log_loss,16,12,4,log2,True,,64,0.01,0.0,,0.9272691056667959,0.019168260635867247,0.9500577919688062,0.013182310347151598,0.9044804193647857,0.025345481937928273,0.8649230769230769,0.032510717395377926,0.9344466800804829,0.017226160471601196,0.9762188034188034,0.014068292571228267,0.9717742877683969,0.0047931974215095225
